date_agg,week_date,days_since_coinbase,herfindal_index
202011,2020-01-01,0,0.97871300550784956
202011,2020-01-01,1,0.60815793685449515
202011,2020-01-01,2,0.29328853987467074
202011,2020-01-01,3,0.23340293938189244
202011,2020-01-01,4,0.20874340069291086
202011,2020-01-01,5,0.19665464224909854
202011,2020-01-01,6,0.19277169975611771
202011,2020-01-01,7,0.18939691347213394
202011,2020-01-01,8,0.18801748659461251
202011,2020-01-01,9,0.18679360828504776
202011,2020-01-01,10,0.183603651513177
202011,2020-01-01,11,0.18344661878239579
202011,2020-01-01,12,0.18318805739129129
202011,2020-01-01,13,0.18224505831708671
202011,2020-01-01,14,0.18200285972205227
202011,2020-01-01,15,0.18194815423490895
202011,2020-01-01,16,0.18160148664200992
202011,2020-01-01,17,0.18159199241353791
202011,2020-01-01,18,0.18156576322143989
202011,2020-01-01,19,0.18154637087430214
202011,2020-01-01,20,0.18154150360312379
202011,2020-01-01,21,0.18154112825488136
202011,2020-01-01,22,0.18154105467905091
202011,2020-01-01,23,0.18018770599276623
202011,2020-01-01,24,0.18018043541319795
202011,2020-01-01,25,0.17883637293753391
202011,2020-01-01,26,0.17816701193592022
202011,2020-01-01,27,0.1781599578656293
202011,2020-01-01,28,0.17815958058317619
202011,2020-01-01,29,0.17814230821102978
202011,2020-01-01,30,0.17813705506899846
202011,2020-01-01,31,0.17813604066242689
202011,2020-01-01,32,0.1781348292430375
202011,2020-01-01,33,0.17787515351151378
202011,2020-01-01,34,0.17784877274180147
202011,2020-01-01,35,0.17705035415354389
202011,2020-01-01,36,0.17704987202729738
202011,2020-01-01,37,0.17704977099427732
202011,2020-01-01,38,0.17637269733039462
202011,2020-01-01,39,0.17573088786741203
202011,2020-01-01,40,0.17558655953916702
202011,2020-01-01,41,0.17558363422837744
202011,2020-01-01,42,0.1755811503145806
202011,2020-01-01,43,0.17554015332213174
202011,2020-01-01,44,0.17551228361060181
202011,2020-01-01,45,0.17549524229339661
202011,2020-01-01,46,0.17526317605846495
202011,2020-01-01,47,0.17524860493477429
202011,2020-01-01,48,0.17523710553921953
202011,2020-01-01,49,0.17514875164123397
202011,2020-01-01,50,0.17384163273462827
202011,2020-01-01,51,0.17324172612781671
202011,2020-01-01,52,0.17297111574661506
202011,2020-01-01,53,0.17297060566313854
202011,2020-01-01,54,0.17296795326915879
202011,2020-01-01,55,0.17296795668591028
202011,2020-01-01,56,0.17296737717306976
202011,2020-01-01,57,0.17296710077256375
202011,2020-01-01,58,0.17285738372646589
202011,2020-01-01,59,0.17285714738799327
202011,2020-01-01,60,0.17269362173288441
202011,2020-01-01,61,0.17268351350071734
202011,2020-01-01,62,0.17268092449735714
202011,2020-01-01,63,0.17267931693724622
202011,2020-01-01,64,0.17267924710857613
202011,2020-01-01,65,0.17267554857531264
202011,2020-01-01,66,0.17267447314578463
202011,2020-01-01,67,0.17260015081270075
202011,2020-01-01,68,0.17258063798696902
202011,2020-01-01,69,0.17254399303202528
202011,2020-01-01,70,0.17251099273934364
202011,2020-01-01,71,0.17250371088274519
202011,2020-01-01,72,0.17250253619509245
202011,2020-01-01,73,0.1724989948858571
202011,2020-01-01,74,0.17249478549193148
202011,2020-01-01,75,0.17248573493992797
202011,2020-01-01,76,0.1724855383992418
202011,2020-01-01,77,0.1724810989685891
202011,2020-01-01,78,0.17248096972105037
202011,2020-01-01,79,0.17248074689953358
202011,2020-01-01,80,0.17248052778099857
202011,2020-01-01,81,0.17248030636738659
202011,2020-01-01,82,0.17248014617013832
202011,2020-01-01,83,0.17247994695620122
202011,2020-01-01,84,0.17247993616337723
202011,2020-01-01,85,0.17247992359186587
202011,2020-01-01,86,0.1724798756783372
202011,2020-01-01,87,0.17224762711057134
202011,2020-01-01,88,0.17224754499048914
202011,2020-01-01,89,0.17224751720903964
202011,2020-01-01,90,0.17224750585351264
202011,2020-01-01,91,0.17224028643435985
202011,2020-01-01,92,0.17224029797238269
202011,2020-01-01,93,0.17224031914490817
202011,2020-01-01,94,0.172240275958258
202011,2020-01-01,95,0.17224025809045418
202011,2020-01-01,96,0.17224024193979062
202011,2020-01-01,97,0.17224025406262153
202011,2020-01-01,98,0.17224026226776895
202011,2020-01-01,99,0.17224026560944558
202011,2020-01-01,100,0.1722402659789308
202011,2020-01-01,101,0.17224026584557953
202011,2020-01-01,102,0.17224014019065428
202011,2020-01-01,103,0.17224014372019023
202011,2020-01-01,104,0.17213651316886239
202011,2020-01-01,105,0.17212829207281036
202011,2020-01-01,106,0.17212830491174075
202011,2020-01-01,107,0.17212830792531
202011,2020-01-01,108,0.17212598381663802
202011,2020-01-01,109,0.17212599267545711
202011,2020-01-01,110,0.17212570679605391
202011,2020-01-01,111,0.17212519929985373
202011,2020-01-01,112,0.17212478899602363
202011,2020-01-01,113,0.17212471226218057
202011,2020-01-01,114,0.17212463092980648
202011,2020-01-01,115,0.17212367409484722
202011,2020-01-01,116,0.17212292099453444
202011,2020-01-01,117,0.17212222567292851
202011,2020-01-01,118,0.17212054108785885
202011,2020-01-01,119,0.17211888525294156
202011,2020-01-01,120,0.17211888688609658
202011,2020-01-01,121,0.17211841838515182
202011,2020-01-01,122,0.17211801892661027
202011,2020-01-01,123,0.17211783124461755
202011,2020-01-01,124,0.17211721147468595
202011,2020-01-01,125,0.17209983864623207
202011,2020-01-01,126,0.17209968567980696
202011,2020-01-01,127,0.17209876798628088
202011,2020-01-01,128,0.17209732692834004
202011,2020-01-01,129,0.17199447284026684
202011,2020-01-01,130,0.17199445306551062
202011,2020-01-01,131,0.17199444276671691
