month,bucket,bucket_type,tx_count
2011-04-01,350-600,sats,6
2011-04-01,4-6,sats,1
2011-04-01,40-50,sats,4
2011-04-01,50-60,sats,3
2011-04-01,6-9,sats,3
2011-04-01,60-80,sats,4
2011-04-01,600+,sats,12786
2011-04-01,80-100,sats,2
2011-04-01,$0,usd,55997
2011-04-01,$0-$0.00005,usd,8616
2011-04-01,$0.00005-$0.00008,usd,2419
2011-04-01,$0.00008-$0.0001,usd,558
2011-04-01,$0.0001-$0.00015,usd,1194
2011-04-01,$0.00015-$0.0002,usd,51
2011-04-01,$0.0002-$0.00025,usd,7
2011-04-01,$0.00025-$0.0003,usd,3
2011-04-01,$0.0004-$0.0005,usd,1
2011-04-01,$0.0015-$0.002,usd,1
2011-04-01,$0.002-$0.003,usd,1
2011-05-01,0,sats,92051
2011-05-01,0-2,sats,97
2011-05-01,100-130,sats,154
2011-05-01,12-18,sats,18
2011-05-01,130-170,sats,37
2011-05-01,170-220,sats,1385
2011-05-01,18-24,sats,14
2011-05-01,2-4,sats,18
2011-05-01,220-350,sats,75
2011-05-01,24-30,sats,11
2011-05-01,30-40,sats,29
2011-05-01,350-600,sats,162
2011-05-01,4-6,sats,14
2011-05-01,40-50,sats,10
2011-05-01,50-60,sats,16
2011-05-01,6-9,sats,14
2011-05-01,60-80,sats,36
2011-05-01,600+,sats,35691
2011-05-01,80-100,sats,48
2011-05-01,9-12,sats,17
2011-05-01,$0,usd,92051
2011-05-01,$0-$0.00005,usd,2580
2011-05-01,$0.00005-$0.00008,usd,1302
2011-05-01,$0.00008-$0.0001,usd,1695
2011-05-01,$0.0001-$0.00015,usd,7052
2011-05-01,$0.00015-$0.0002,usd,2471
2011-05-01,$0.0002-$0.00025,usd,4430
2011-05-01,$0.00025-$0.0003,usd,8352
2011-05-01,$0.0003-$0.0004,usd,9702
2011-05-01,$0.0004-$0.0005,usd,98
2011-05-01,$0.0005-$0.00065,usd,78
2011-05-01,$0.00065-$0.0009,usd,59
2011-05-01,$0.0009-$0.001,usd,4
2011-05-01,$0.001-$0.0015,usd,13
2011-05-01,$0.0015-$0.002,usd,4
2011-05-01,$0.003-$0.0045,usd,1
2011-05-01,$0.0045-$0.007,usd,1
2011-05-01,$0.007-$0.01,usd,3
2011-05-01,$0.01-$0.15,usd,1
2011-06-01,0,sats,205839
2011-06-01,0-2,sats,247
2011-06-01,100-130,sats,6428
2011-06-01,12-18,sats,161
2011-06-01,130-170,sats,1209
2011-06-01,170-220,sats,24039
2011-06-01,18-24,sats,96
2011-06-01,2-4,sats,72
2011-06-01,220-350,sats,912
2011-06-01,24-30,sats,41
2011-06-01,30-40,sats,176
2011-06-01,350-600,sats,700
2011-06-01,4-6,sats,27
2011-06-01,40-50,sats,53
2011-06-01,50-60,sats,819
2011-06-01,6-9,sats,42
2011-06-01,60-80,sats,1488
2011-06-01,600+,sats,66461
2011-06-01,80-100,sats,2358
2011-06-01,9-12,sats,58
2011-06-01,$0,usd,205839
2011-06-01,$0-$0.00005,usd,37908
2011-06-01,$0.00005-$0.00008,usd,829
2011-06-01,$0.00008-$0.0001,usd,182
2011-06-01,$0.0001-$0.00015,usd,752
2011-06-01,$0.00015-$0.0002,usd,2859
2011-06-01,$0.0002-$0.00025,usd,4262
2011-06-01,$0.00025-$0.0003,usd,3955
2011-06-01,$0.0003-$0.0004,usd,7966
2011-06-01,$0.0004-$0.0005,usd,5868
2011-06-01,$0.0005-$0.00065,usd,8659
2011-06-01,$0.00065-$0.0009,usd,23949
2011-06-01,$0.0009-$0.001,usd,2836
2011-06-01,$0.001-$0.0015,usd,5087
2011-06-01,$0.0015-$0.002,usd,95
2011-06-01,$0.002-$0.003,usd,95
2011-06-01,$0.003-$0.0045,usd,36
2011-06-01,$0.0045-$0.007,usd,15
2011-06-01,$0.007-$0.01,usd,15
