date,days_since_coinbase,herfindal_index
2009-05-01T00:00:00,7,0.99950688643672969
2009-05-01T00:00:00,8,0.99950688643672925
2009-05-01T00:00:00,9,0.99950688643672925
2009-05-01T00:00:00,10,0.99950688643673014
2009-05-01T00:00:00,11,0.99950688643672936
2009-05-01T00:00:00,12,0.99950688643672947
2009-05-01T00:00:00,13,0.99950688643672947
2009-05-01T00:00:00,14,0.99950688643672947
2009-05-01T00:00:00,15,0.99950688643672958
2009-05-01T00:00:00,16,0.99950688643672936
2009-05-01T00:00:00,17,0.99950688643672958
2009-05-01T00:00:00,18,0.99950688643672991
2009-05-01T00:00:00,19,0.99950688643672947
2009-05-01T00:00:00,20,0.99950688643672925
2009-05-01T00:00:00,21,0.99950688643673014
2009-05-01T00:00:00,22,0.99950688643672947
2009-05-01T00:00:00,23,0.99950688643672991
2009-05-01T00:00:00,24,0.99950688643672969
2009-05-01T00:00:00,25,0.99950688643672891
2009-05-01T00:00:00,26,0.9995068864367298
2009-05-01T00:00:00,27,0.9995068864367298
2009-05-01T00:00:00,28,0.99950688643672969
2009-06-01T00:00:00,0,1.0
2009-06-01T00:00:00,1,1.0
2009-06-01T00:00:00,2,0.99941860465116283
2009-06-01T00:00:00,3,0.999418604651163
2009-06-01T00:00:00,4,0.99941860465116261
2009-06-01T00:00:00,5,0.99941860465116272
2009-06-01T00:00:00,6,0.99941860465116272
2009-06-01T00:00:00,7,0.99941860465116261
2009-06-01T00:00:00,8,0.99941860465116272
2009-06-01T00:00:00,9,0.99941860465116283
2009-06-01T00:00:00,10,0.99941860465116283
2009-06-01T00:00:00,11,0.99941860465116272
2009-06-01T00:00:00,12,0.99941860465116261
2009-06-01T00:00:00,13,0.99941860465116272
2009-06-01T00:00:00,14,0.99941860465116272
2009-06-01T00:00:00,15,0.99941860465116272
2009-06-01T00:00:00,16,0.999418604651163
2009-06-01T00:00:00,17,0.99941860465116272
2009-06-01T00:00:00,18,0.99941860465116272
2009-06-01T00:00:00,19,0.99941860465116261
2009-06-01T00:00:00,20,0.999345971563718
2009-06-01T00:00:00,21,0.99928786509376177
2009-06-01T00:00:00,22,0.99927333847627231
2009-06-01T00:00:00,23,0.99921523200631646
2009-06-01T00:00:00,24,0.99918617877133853
2009-06-01T00:00:00,25,0.99914986222761593
2009-06-01T00:00:00,26,0.99914259891887147
2009-06-01T00:00:00,27,0.99913533561012735
2009-06-01T00:00:00,28,0.99913533561012713
2009-07-01T00:00:00,0,1.0
2009-07-01T00:00:00,1,1.0
2009-07-01T00:00:00,2,1.0
2009-07-01T00:00:00,3,0.99998312648482834
2009-07-01T00:00:00,4,0.9999325059393136
2009-07-01T00:00:00,5,0.99989875890897006
2009-07-01T00:00:00,6,0.99977150538512016
2009-07-01T00:00:00,7,0.99968494900639926
2009-07-01T00:00:00,8,0.99963141005706668
2009-07-01T00:00:00,9,0.99953568731980535
2009-07-01T00:00:00,10,0.99942860942114076
2009-07-01T00:00:00,11,0.99932372032533856
2009-07-01T00:00:00,12,0.99922653838616837
2009-07-01T00:00:00,13,0.99917299943683646
2009-07-01T00:00:00,14,0.99912019008845832
2009-07-01T00:00:00,15,0.99901457139170236
2009-07-01T00:00:00,16,0.99895551408860161
2009-07-01T00:00:00,17,0.9988520841947085
2009-07-01T00:00:00,18,0.99877250537166473
2009-07-01T00:00:00,19,0.99869146734671188
2009-07-01T00:00:00,20,0.99869146734671177
2009-07-01T00:00:00,21,0.99866396743103436
2009-07-01T00:00:00,22,0.9986639649108644
2009-07-01T00:00:00,23,0.99865479687221093
2009-07-01T00:00:00,24,0.998654795192098
2009-07-01T00:00:00,25,0.99865479225189946
2009-07-01T00:00:00,26,0.99864562015468217
2009-07-01T00:00:00,27,0.99864561068298952
2009-07-01T00:00:00,28,0.99863643611284125
2009-08-01T00:00:00,0,1.0
2009-08-01T00:00:00,1,0.99994358938558248
2009-08-01T00:00:00,2,0.99986461452539765
2009-08-01T00:00:00,3,0.99980820391098024
2009-08-01T00:00:00,4,0.99975179329656216
2009-08-01T00:00:00,5,0.9996615363134943
2009-08-01T00:00:00,6,0.99955999720754229
2009-08-01T00:00:00,7,0.99955999720754252
2009-08-01T00:00:00,8,0.99955999720754263
2009-08-01T00:00:00,9,0.99955999720754263
2009-08-01T00:00:00,10,0.99955999720754229
2009-08-01T00:00:00,11,0.99955999720754218
2009-08-01T00:00:00,12,0.99955999720754241
2009-08-01T00:00:00,13,0.99955990486509816
2009-08-01T00:00:00,14,0.99955981252265436
2009-08-01T00:00:00,15,0.99955981252265425
2009-08-01T00:00:00,16,0.99955916612554563
2009-08-01T00:00:00,17,0.99947079119803284
2009-08-01T00:00:00,18,0.99932034666451319
2009-08-01T00:00:00,19,0.999256891921846
2009-08-01T00:00:00,20,0.99920648744863483
2009-08-01T00:00:00,21,0.9991564483256572
2009-08-01T00:00:00,22,0.99915643827680278
2009-08-01T00:00:00,23,0.99915642822794848
2009-08-01T00:00:00,24,0.99915641214978168
2009-08-01T00:00:00,25,0.99915639406184364
2009-08-01T00:00:00,26,0.99915639406184376
2009-08-01T00:00:00,27,0.99915639406184353
2009-08-01T00:00:00,28,0.99915639406184364
2009-09-01T00:00:00,0,1.0
2009-09-01T00:00:00,1,0.99998188068889216
2009-09-01T00:00:00,2,0.99996376137778364
2009-09-01T00:00:00,3,0.99993658241112193
2009-09-01T00:00:00,4,0.99986410516668878
2009-09-01T00:00:00,5,0.99982786654447264
2009-09-01T00:00:00,6,0.999791627922257
2009-09-01T00:00:00,7,0.999737269988932
2009-09-01T00:00:00,8,0.999737269988933
2009-09-01T00:00:00,9,0.99965573308894606
2009-09-01T00:00:00,10,0.99958325584451369
2009-09-01T00:00:00,11,0.99958325584451413
2009-09-01T00:00:00,12,0.99952889791118926
2009-09-01T00:00:00,13,0.99949265928897313
2009-09-01T00:00:00,14,0.99945642066675677
2009-09-01T00:00:00,15,0.99942018204454075
2009-09-01T00:00:00,16,0.99937488376677
2009-09-01T00:00:00,17,0.99937488376677031
2009-09-01T00:00:00,18,0.99937488376677019
2009-09-01T00:00:00,19,0.99937488376677042
2009-09-01T00:00:00,20,0.99935680718753206
2009-09-01T00:00:00,21,0.99932065402905557
2009-09-01T00:00:00,22,0.99929353916019814
2009-09-01T00:00:00,23,0.99929353916019792
2009-09-01T00:00:00,24,0.99929353916019847
2009-09-01T00:00:00,25,0.99927546258096023
2009-09-01T00:00:00,26,0.99927546258095956
2009-09-01T00:00:00,27,0.99927546258096034
2009-09-01T00:00:00,28,0.99927546258095956
2009-10-01T00:00:00,0,1.0
2009-10-01T00:00:00,1,1.0
2009-10-01T00:00:00,2,1.0
2009-10-01T00:00:00,3,0.99998164283416024
2009-10-01T00:00:00,4,0.99992657133664087
2009-10-01T00:00:00,5,0.99985314267328129
2009-10-01T00:00:00,6,0.99977971400992227
2009-10-01T00:00:00,7,0.99975217826116247
2009-10-01T00:00:00,8,0.99972464251240267
2009-10-01T00:00:00,9,0.99967874959780323
2009-10-01T00:00:00,10,0.99964203526612327
2009-10-01T00:00:00,11,0.99787007955657858
2009-10-01T00:00:00,12,0.99669574404654915
2009-10-01T00:00:00,13,0.99537200348664057
2009-10-01T00:00:00,14,0.99389885787685339
2009-10-01T00:00:00,15,0.99323698759689916
2009-10-01T00:00:00,16,0.99243280679537949
2009-10-01T00:00:00,17,0.99156437591342017
2009-10-01T00:00:00,18,0.99073265936314026
2009-10-01T00:00:00,19,0.99020061590679309
2009-10-01T00:00:00,20,0.990030285338232
2009-10-01T00:00:00,21,0.98991673162585758
2009-10-01T00:00:00,22,0.98991673162585769
2009-10-01T00:00:00,23,0.9899167316258578
2009-10-01T00:00:00,24,0.98991673162585769
2009-10-01T00:00:00,25,0.98991673162585792
2009-10-01T00:00:00,26,0.98991673162585769
2009-10-01T00:00:00,27,0.98991673162585792
2009-10-01T00:00:00,28,0.989916731625858
2009-11-01T00:00:00,0,1.0
2009-11-01T00:00:00,1,1.0
2009-11-01T00:00:00,2,0.99999557140055428
2009-11-01T00:00:00,3,0.99999557140055428
2009-11-01T00:00:00,4,0.99999114280110835
2009-11-01T00:00:00,5,0.99965771025963579
2009-11-01T00:00:00,6,0.99965328166019
2009-11-01T00:00:00,7,0.99964442446129875
2009-11-01T00:00:00,8,0.99963131751774414
2009-11-01T00:00:00,9,0.99963131751774392
2009-11-01T00:00:00,10,0.99947481458210985
2009-11-01T00:00:00,11,0.99946161821116331
2009-11-01T00:00:00,12,0.99945285043966325
2009-11-01T00:00:00,13,0.99943531489666326
2009-11-01T00:00:00,14,0.99943097572460859
2009-11-01T00:00:00,15,0.99942220795310854
2009-11-01T00:00:00,16,0.999417868781054
2009-11-01T00:00:00,17,0.99940485126489143
2009-11-01T00:00:00,18,0.99940485126489087
2009-11-01T00:00:00,19,0.9994048512648912
2009-11-01T00:00:00,20,0.99940485126489109
2009-11-01T00:00:00,21,0.999404851264891
2009-11-01T00:00:00,22,0.999404851264891
2009-11-01T00:00:00,23,0.999404851264891
2009-11-01T00:00:00,24,0.99940485126489087
2009-11-01T00:00:00,25,0.99940485126489143
2009-11-01T00:00:00,26,0.99940485126489109
2009-11-01T00:00:00,27,0.99940485126489109
2009-11-01T00:00:00,28,0.99940042266544538
2009-12-01T00:00:00,0,1.0
2009-12-01T00:00:00,1,0.999990266798419
2009-12-01T00:00:00,2,0.99988393283377186
2009-12-01T00:00:00,3,0.999718700661506
2009-12-01T00:00:00,4,0.9997187006615057
2009-12-01T00:00:00,5,0.99970901686703983
2009-12-01T00:00:00,6,0.99970901686703972
2009-12-01T00:00:00,7,0.99970901686703983
2009-12-01T00:00:00,8,0.99970901686703961
2009-12-01T00:00:00,9,0.99970901686703983
2009-12-01T00:00:00,10,0.99970901686704017
2009-12-01T00:00:00,11,0.99970901686704017
2009-12-01T00:00:00,12,0.999704121431164
2009-12-01T00:00:00,13,0.999699162415789
2009-12-01T00:00:00,14,0.99969916241578816
2009-12-01T00:00:00,15,0.99969916241578882
2009-12-01T00:00:00,16,0.99969916241578871
2009-12-01T00:00:00,17,0.99969916241578827
2009-12-01T00:00:00,18,0.99969916241578838
2009-12-01T00:00:00,19,0.999699162415789
2009-12-01T00:00:00,20,0.99969916241578849
2009-12-01T00:00:00,21,0.9996991624157886
2009-12-01T00:00:00,22,0.99969916241578871
2009-12-01T00:00:00,23,0.99969916241578871
