metric_date,herfindahl_index,prev_herfindahl_index,mean_change,mean_pct_change
2011-08-10,0.71821369406652014,0.71923703310853848,-0.0046191311815503159,-0.004839785654690911
2011-08-09,0.718184277223746,0.71936986729161756,-0.0043725483109965718,-0.0047599786531035051
2011-08-08,0.72073732182758476,0.72127229259180026,-0.0039317292475719249,-0.0045209230232446775
2011-08-07,0.71942333625552524,0.722872827877338,-0.0063145965133090311,-0.0063901487373052715
2011-08-06,0.721797853161793,0.72150379049073965,-0.0027870077576342606,-0.0032764619562043141
2011-08-05,0.72080409155422009,0.72027335080900123,-0.0028973796336986385,-0.0030272320899773159
2011-08-04,0.720116911986289,0.71993857197908184,-0.0028377850659997324,-0.0031206625912230052
2011-08-03,0.71760634292300629,0.71692250570434235,-0.0029772847999392353,-0.0034599992862832853
2011-08-02,0.71586737965890757,0.71591325482860446,-0.0037146891593759254,-0.0040419957094823232
2011-08-01,0.71619782570318646,0.71596277174244116,-0.0034282124556542217,-0.0038506541491738528
2011-07-31,0.71587898502875158,0.71593685496027548,-0.0039542094784991069,-0.00439922252613743
2011-07-30,0.716417138524367,0.715721563395582,-0.0028858650350381738,-0.0030852119074706872
2011-07-29,0.71483996633296143,0.7150451541974131,-0.0039055472265347052,-0.0042117600262003311
2011-07-28,0.71484198393881215,0.71456740427242393,-0.0032891603480373942,-0.0037107721137639932
2011-07-27,0.71396732618919845,0.71437894373967636,-0.0040627219317127244,-0.0043541086654505911
2011-07-26,0.71418633620486549,0.7133757345600219,-0.00308238326045321,-0.0035303700222036683
2011-07-25,0.7132630307451634,0.71338324216395277,-0.0035570569560267654,-0.0040165469421651126
2011-07-24,0.71318386551506108,0.71306260616410722,-0.0034947308053946426,-0.003666565177195838
2011-07-23,0.71214360940688459,0.7121856095351724,-0.0036040527876971943,-0.00387833931839386
2011-07-22,0.71203646100040929,0.71204203381879827,-0.003674557271785563,-0.003889484317663817
2011-07-21,0.71292431886384933,0.71275215683864435,-0.0035036719069656982,-0.0037896014749809934
2011-07-20,0.713840293186171,0.71418007287899787,-0.0033965819179706627,-0.0036544125963146935
2011-07-19,0.71705056558769076,0.71704064028348635,-0.0034723914745355723,-0.0037553289525100292
2011-07-18,0.71886199035979526,0.71844217233665508,-0.0032165584617618093,-0.0036901946691284193
2011-07-17,0.71966494138022341,0.71982769212910247,-0.0033830908654255711,-0.003460438832600536
2011-07-16,0.71831066263137033,0.71875511848155837,-0.0037301573345976712,-0.0039173622212932916
2011-07-15,0.71909136310150512,0.71876816498101737,-0.00314857184351856,-0.0033280904383519981
2011-07-14,0.71916644123229012,0.71975271438964228,-0.0037939749475344965,-0.0045506719904734212
2011-07-13,0.71733082249094415,0.71801899354099208,-0.0042434151065444967,-0.0044921783550781347
