pubkey,alias,first_seen,color
02ee60fef298e59b2ae4ff09642a62a1317c7baac97d51b1fc7e5581d1c6fef695,02ee60fef298e59b2ae4,2021-05-07 08:04:43.911688,3399ff
02d30aaa6f5601d16718561a8b77a4ef8f9f399ce7d3e0273be99409c81becff03,02d30aaa6f5601d16718,2021-05-07 08:04:44.701082,3399ff
0355e9314264dae0efff09236ae5660be6d0a79c39650f8d6db58edef6f48a2a89,bitnode,2021-05-07 08:04:45.226838,68f442
026e6215d95fa7ef9c3d214ffa24be987dec4aa8d9474b82a6dd07c0d927d3640b,026e6215d95fa7ef9c3d,2021-05-07 08:04:45.753097,3399ff
028958fc522dc6bb0de747b6e3eacdcae0ad5de2cbd23143f0a8a3fa9c4675dfb9,CODL STORAGE SOLUTIONS,2021-05-07 08:04:46.2802,3399ff
035b757728c892f3b0bdff3201be669fdbd3f02b22a1489ce05477c7c85bfe3bfd,thorBlitz,2021-05-07 08:04:47.070828,ffff00
02dd558b1154d244b2209c89f47cde4615721fefdf567de291d83dbb810d16277b,02dd558b1154d244b220,2021-05-07 08:04:47.618103,3399ff
03e636b6ebbf4b6ecbfdc57fd3a4f280a444f0f22d9fc3f29b590b3e1d676b8dff,Monetary Mettle,2021-05-07 08:04:48.144463,3399ff
02bf38d5b5c4dad09cb8f348b34eb671aee357bc5173b04106bd49310b80f4802c,02bf38d5b5c4dad09cb8,2021-05-07 08:04:48.407627,3399ff
026c5f902c3a6cd5ab655344ac75116a36af08724a6f9ba6b3c497e04e0220bb0e,026c5f902c3a6cd5ab65,2021-05-07 08:04:48.67065,3399ff
0356c908641690d9800b7faa49ccd97648f5bd93f8acc0d3a286b36262c75ec578,prosiri,2021-05-07 08:04:49.19639,68f442
031a5bfd671d9c1248490a7dccf2b0daddb02f9e8fb5b412773879b63046b8c19f,Solmyr,2021-05-07 08:04:49.722255,3399ff
02e29856dab8ddd9044c18486e4cab79ec717b490447af2d4831e290e48d58638a,YOURALIAS,2021-05-07 08:04:49.98528,000000
0385e9dc4601811a4aa769e6a50401580be2087c7162f8c478f82296c8ee6ea8c4,0385e9dc4601811a4aa7,2021-05-07 08:04:50.511424,3399ff
028b1e5fee6b2d551643a9b3573e856072189b1e8870faf3e62939e91f14f0d12f,mint[fresh],2021-05-07 08:04:50.775553,3dee4b
02cc838a244853ec887d3451ea065e5cf574efc5f809d70378860b4a4f1d060b02,Yamazaki,2021-05-07 08:04:51.040288,42019f
03b8232af5533be54a9770202c24c029f0977ba68f88899d71eff23186e785e984,03b8232af5533be54a97,2021-05-07 08:04:51.565795,3399ff
03bc0749c4d43b22c91f5ae51b1cb189e0474da076a14b19ef0301a5e2ae4d9535,03bc0749c4d43b22c91f,2021-05-07 08:04:52.091105,3399ff
02af7e8c0b4d83f1784b02ce4f4a251a0265e346dd668d5b9a8f40534f5f61ab2d,Wide Harvest,2021-05-07 08:04:53.408487,3399ff
0389dfd119ad10cc1c7e2a93483e0d80d650ee1492f3d30c6e108fbe2a6f515e54,0389dfd119ad10cc1c7e,2021-05-07 08:04:53.67222,3399ff
02f8be07b906fd0628548d6230a37282e9cd43890b0e1fa11e77ded1405d42c7a5,Nieno⚡️,2021-05-07 08:04:54.197948,f442f4
036ec0e6cddf60890f2c31a7b8f0c4cb05f7fddc7255a4d744a423d382b0bbf985,036ec0e6cddf60890f2c,2021-05-07 08:04:54.743783,3399ff
03d84216cc025e8c035645d52d59b4723b0b7f23df21e6caeed9c67f39c1266ae7,junkbite.com,2021-05-07 08:04:55.006407,68f442
027d5b145f1f2ee895aa7b7f59d726d62a529f6ddc1d07ff3e2179aaccaeb90432,CheesesteakJimmy,2021-05-07 08:04:55.794146,68f442
023cc89e1c4ccfa08a0648319f4a32cfc1a4bc41eea9cc4759b7512c0801258a7d,lnd.soerface.de,2021-05-07 08:04:56.581919,3399ff
031d01fff3bbbfe256b2dfaf5db71283ced630f449a141af632be8f9568f278cf9,031d01fff3bbbfe256b2,2021-05-07 08:04:56.845873,3399ff
034d35f4673ac0fa0253f52c637bc74c23c5dc8d95989b853b032b31a474a3dc0b,Stoneward Digital,2021-05-07 08:04:57.371997,3399ff
02cb4150e6a5a550ec84d6b2fe1dff9adb3bc8e3326b6c438be5c6dd8fb156f698,Letsgetthisdone,2021-05-07 08:04:57.636306,68f442
02e35393892f640ced218c332372b97f35a5e7258a9be3051db48d8b3401924963,02e35393892f640ced21,2021-05-07 08:04:57.900488,3399ff
03677d6962208f5d890630c07144fd5f82b25989081e2dfc8688d22330217f4832,03677d6962208f5d8906,2021-05-07 08:04:58.427465,3399ff
022a4b3eedb3cdabfde17bf39810df7e31841f903aec81a8624e9ff95ba456f35e,TITER-NODE,2021-05-07 08:04:58.959893,68f442
