period,days_since_coinbase,herfindal_index
Third halving: 3 months following,26,0.24694263946176589
Third halving: 3 months following,27,0.24628003721122296
Third halving: 3 months following,28,0.24513096062489603
Third halving: 3 months preceding,0,0.98156733678662356
Third halving: 3 months preceding,1,0.6262644140304453
Third halving: 3 months preceding,2,0.33099362809388461
Third halving: 3 months preceding,3,0.26817352914906978
Third halving: 3 months preceding,4,0.24399924842383328
Third halving: 3 months preceding,5,0.23429238111685477
Third halving: 3 months preceding,6,0.22960493089538309
Third halving: 3 months preceding,7,0.22435612097705826
Third halving: 3 months preceding,8,0.22113391241864863
Third halving: 3 months preceding,9,0.21848040226951498
Third halving: 3 months preceding,10,0.21651165085059365
Third halving: 3 months preceding,11,0.21465775387888042
Third halving: 3 months preceding,12,0.2125726942594266
Third halving: 3 months preceding,13,0.21045547273764384
Third halving: 3 months preceding,14,0.20905939482896055
Third halving: 3 months preceding,15,0.20804855040813314
Third halving: 3 months preceding,16,0.2070578510305606
Third halving: 3 months preceding,17,0.2062056395089002
Third halving: 3 months preceding,18,0.20537125942144563
Third halving: 3 months preceding,19,0.20421497198945396
Third halving: 3 months preceding,20,0.20337169357034757
Third halving: 3 months preceding,21,0.20207477364996448
Third halving: 3 months preceding,22,0.20086368292989365
Third halving: 3 months preceding,23,0.20048988202221149
Third halving: 3 months preceding,24,0.19993633637547709
Third halving: 3 months preceding,25,0.19937660682765854
Third halving: 3 months preceding,26,0.19905433238956732
Third halving: 3 months preceding,27,0.19873791548528111
Third halving: 3 months preceding,28,0.19843483359249567
